LUMINOSIDADE %;TEMP AR Celsius;GASES %;UMIDADE %;LATITUDE;LONGITUDE;TEMP AGUA Celsius;OXI AGUA mg/L;SOM
97.56;33.38;7.04;44.00;-12.8864793;-38.5218200;28.82;8.30;933
97.56;33.20;7.23;44.00;-12.8863496;-38.5221290;28.66;8.29;784
97.65;32.47;7.04;45.00;-12.8862400;-38.5224418;28.89;8.30;991
97.65;32.22;7.04;46.00;-12.8861284;-38.5227470;28.94;8.27;520
97.65;32.03;7.23;49.00;-12.8860092;-38.5230369;28.79;8.27;799
97.46;32.26;7.23;50.00;-12.8859300;-38.5233573;28.98;8.26;807
97.36;32.28;7.23;51.00;-12.8858404;-38.5236549;28.84;8.27;922
97.46;32.48;7.24;52.00;-12.8857498;-38.5239753;28.95;8.27;705
97.36;32.40;7.15;52.00;-12.8856601;-38.5243072;29.13;8.28;963
97.26;32.49;7.15;52.00;-12.8855504;-38.5246696;29.13;8.23;914
97.07;31.80;7.15;52.00;-12.8854694;-38.5250015;29.10;8.21;868
97.07;31.50;7.15;52.00;-12.8853902;-38.5253105;29.16;8.24;736
96.87;31.65;7.15;52.00;-12.8853502;-38.5256156;29.00;8.19;866
96.97;31.90;7.24;53.00;-12.8852996;-38.5258789;29.11;8.23;904
96.87;31.97;7.15;53.00;-12.8852386;-38.5261344;29.02;8.22;812
96.77;31.92;7.24;53.00;-12.8851795;-38.5264015;28.99;8.20;919
96.77;31.98;7.24;54.00;-12.8851108;-38.5266799;28.97;8.19;944
96.77;31.99;7.15;54.00;-12.8849992;-38.5269813;28.97;8.14;805
96.68;31.90;7.15;54.00;-12.8848981;-38.5272789;28.97;8.19;814
96.77;31.97;7.15;54.00;-12.8847990;-38.5275459;29.07;8.21;982
96.77;31.99;7.34;54.00;-12.8846893;-38.5278091;28.99;8.18;857
96.68;32.11;7.24;55.00;-12.8846197;-38.5280761;29.12;8.15;837
96.48;32.17;7.15;55.00;-12.8845291;-38.5283393;29.07;8.17;835
96.48;32.11;7.15;55.00;-12.8844394;-38.5286407;29.17;8.14;811
96.38;32.13;7.15;54.00;-12.8843297;-38.5289497;29.12;8.12;874
96.29;32.10;7.34;54.00;-12.8842306;-38.5292816;29.29;8.09;842
96.19;32.01;7.34;55.00;-12.8841600;-38.5296478;29.22;8.11;998
95.99;31.70;7.24;55.00;-12.8840484;-38.5300559;29.24;8.14;1021
95.80;31.35;7.05;54.00;-12.8839492;-38.5305595;29.06;8.08;851
95.60;30.94;7.15;54.00;-12.8838491;-38.5310707;29.12;8.05;927
95.21;30.61;6.95;54.00;-12.8837785;-38.5315704;29.00;8.04;664
95.11;30.39;7.05;54.00;-12.8836698;-38.5320396;28.98;8.02;855
94.92;30.10;6.95;54.00;-12.8835897;-38.5324401;28.97;8.08;865
94.72;29.72;6.95;55.00;-12.8835296;-38.5328407;28.93;8.11;881
94.43;29.89;7.15;56.00;-12.8834705;-38.5331993;28.94;8.12;860
94.23;30.08;7.05;56.00;-12.8833894;-38.5336265;28.97;8.12;884
94.23;30.03;7.15;57.00;-12.8832998;-38.5340766;29.06;8.12;815
94.13;29.98;7.15;57.00;-12.8832387;-38.5344886;29.02;8.09;860
94.23;29.97;7.05;57.00;-12.8831605;-38.5348854;29.08;8.13;861
94.13;29.98;6.95;58.00;-12.8830595;-38.5352745;29.23;8.17;818
94.23;29.94;6.95;57.00;-12.8829498;-38.5357017;29.12;8.11;848
93.55;30.07;7.15;58.00;-12.8828802;-38.5360794;29.31;8.15;891
91.89;30.27;7.05;58.00;-12.8828191;-38.5365104;29.31;8.14;864
92.96;31.71;7.63;58.00;-12.8827390;-38.5368766;29.48;8.18;871
90.71;31.87;7.63;58.00;-12.8826293;-38.5372886;29.40;8.15;871
92.47;31.98;7.93;58.00;-12.8824892;-38.5377502;29.44;8.17;910
93.16;32.13;7.93;59.00;-12.8823995;-38.5382499;29.22;8.17;804
92.67;32.24;7.83;58.00;-12.8822603;-38.5387992;29.34;8.23;759
91.69;32.36;7.93;58.00;-12.8821506;-38.5393486;29.25;8.11;822
91.79;32.52;7.83;58.00;-12.8820896;-38.5398712;29.27;8.17;847
92.18;32.64;7.83;58.00;-12.8820295;-38.5403976;29.17;8.21;836
91.98;32.67;7.73;57.00;-12.8819293;-38.5409317;29.19;8.20;866
92.38;32.77;7.73;57.00;-12.8817691;-38.5414505;29.21;8.28;832
92.57;32.87;7.83;57.00;-12.8815793;-38.5419692;29.29;8.30;847
90.71;32.96;8.03;57.00;-12.8813581;-38.5425796;29.19;8.30;878
49.36;33.04;7.93;56.00;-12.8810796;-38.5430870;29.32;8.31;715
43.11;33.14;8.03;56.00;-12.8810091;-38.5435752;29.29;8.29;824
45.65;33.21;7.93;56.00;-12.8809385;-38.5440483;29.45;8.32;811
52.20;33.30;7.93;56.00;-12.8808898;-38.5445213;29.58;8.32;878
47.02;33.41;7.83;56.00;-12.8808088;-38.5450401;29.56;8.32;855
49.66;33.50;7.93;56.00;-12.8807096;-38.5455589;29.54;8.36;717
54.25;33.57;8.03;56.00;-12.8806200;-38.5460166;29.57;8.32;862
46.92;33.64;8.22;55.00;-12.8803281;-38.5464706;29.37;8.30;825
41.94;33.71;8.42;55.00;-12.8800601;-38.5469779;29.44;8.31;836
40.76;33.82;8.22;55.00;-12.8797702;-38.5475082;29.04;8.28;1014
70.38;33.91;8.22;55.00;-12.8795003;-38.5480117;28.39;8.16;906
12.12;34.02;7.93;55.00;-12.8792591;-38.5485153;27.79;7.90;926
4.89;34.14;7.93;55.00;-12.8789796;-38.5490303;27.89;7.92;826
4.69;34.25;8.03;55.00;-12.8787097;-38.5495758;27.95;7.80;828
9.87;34.30;8.03;54.00;-12.8784589;-38.5500984;27.90;7.63;840
18.57;34.35;8.03;54.00;-12.8782196;-38.5506286;27.85;7.43;838
18.96;34.46;8.12;54.00;-12.8780698;-38.5511360;27.73;7.27;866
12.61;34.57;8.12;54.00;-12.8779392;-38.5516281;27.61;7.13;825
37.44;34.65;8.12;54.00;-12.8777894;-38.5521545;27.52;7.04;856
4.11;34.74;8.22;54.00;-12.8777694;-38.5526580;27.52;6.99;829
4.11;34.83;8.22;54.00;-12.8777790;-38.5531463;27.40;7.07;832
4.11;34.92;8.32;54.00;-12.8776884;-38.5537109;27.50;7.08;828
4.20;35.02;8.32;54.00;-12.8775892;-38.5542297;27.29;7.09;862
4.20;35.11;8.32;54.00;-12.8774490;-38.5547904;27.39;7.10;843
4.20;35.17;8.32;54.00;-12.8772706;-38.5553665;27.21;7.12;829
4.40;35.23;8.32;54.00;-12.8771390;-38.5559196;27.35;7.14;831
4.40;35.30;8.32;54.00;-12.8770294;-38.5564613;27.18;7.15;832
4.40;35.37;8.42;54.00;-12.8769502;-38.5570106;27.29;7.15;822
4.40;35.46;8.42;53.00;-12.8768692;-38.5575637;27.09;7.15;841
4.40;35.54;8.42;53.00;-12.8768405;-38.5580711;27.15;7.14;829
4.50;35.60;8.51;53.00;-12.8768100;-38.5585708;26.92;7.13;829
4.50;35.66;8.51;53.00;-12.8766984;-38.5590896;27.01;7.12;832
4.50;35.72;8.51;53.00;-12.8765897;-38.5595893;26.89;7.10;835
4.50;35.76;8.51;53.00;-12.8765401;-38.5600891;26.95;7.10;836
4.40;35.85;8.51;53.00;-12.8764600;-38.5605812;27.06;7.08;865
4.30;35.89;8.51;53.00;-12.8763904;-38.5610809;26.87;7.06;841
4.30;35.98;8.51;53.00;-12.8763399;-38.5615653;26.97;7.01;832
4.30;36.02;8.61;53.00;-12.8762693;-38.5620307;26.79;6.98;832
4.30;36.08;8.61;53.00;-12.8762083;-38.5625114;26.89;6.92;865
4.40;36.11;8.61;53.00;-12.8761510;-38.5629615;26.73;6.90;839
4.40;36.18;8.61;52.00;-12.8760395;-38.5634384;26.82;6.85;850
4.20;36.22;8.61;52.00;-12.8759202;-38.5638809;26.68;6.83;827
4.30;36.29;8.61;52.00;-12.8758392;-38.5643577;26.77;6.81;825
4.30;36.34;8.61;52.00;-12.8757801;-38.5648307;26.64;6.82;830
4.40;36.41;8.61;52.00;-12.8757295;-38.5652694;26.71;6.81;832
72.04;36.42;8.61;52.00;-12.8756484;-38.5657310;26.60;6.76;859
4.20;36.44;8.61;52.00;-12.8754882;-38.5661354;26.65;6.81;831
4.30;36.50;8.61;52.00;-12.8753499;-38.5665092;26.57;6.91;829
4.40;36.54;8.61;52.00;-12.8752393;-38.5669212;26.60;6.94;837
4.50;36.60;8.61;52.00;-12.8751697;-38.5672988;26.71;6.92;830
74.78;36.63;8.61;52.00;-12.8751802;-38.5676498;26.54;6.83;863
24.63;36.65;8.51;52.00;-12.8751497;-38.5679893;26.66;6.80;832
24.63;36.68;8.61;52.00;-12.8750886;-38.5683517;26.52;6.78;831
26.39;36.72;8.51;52.00;-12.8750486;-38.5686454;26.64;6.69;832
26.69;36.74;8.51;52.00;-12.8749895;-38.5689201;26.48;6.65;828
26.98;36.77;8.51;51.00;-12.8749389;-38.5691871;26.61;6.60;826
27.47;36.82;8.51;51.00;-12.8748798;-38.5694694;26.45;6.56;826
27.66;36.83;8.51;51.00;-12.8747787;-38.5698394;26.57;6.53;861
28.05;36.85;8.51;51.00;-12.8746595;-38.5702171;26.42;6.52;820
27.47;36.86;8.51;51.00;-12.8745498;-38.5705680;26.53;6.48;839
28.15;36.90;8.51;51.00;-12.8743991;-38.5709304;26.39;6.43;830
28.05;36.93;8.42;51.00;-12.8742599;-38.5712776;26.51;6.42;835
28.35;36.95;8.42;51.00;-12.8740892;-38.5716552;26.39;6.41;830
29.03;36.98;8.42;51.00;-12.8739109;-38.5720176;26.49;6.33;830
30.21;37.01;8.42;51.00;-12.8737506;-38.5723915;26.34;6.32;863
30.60;37.04;8.42;51.00;-12.8736085;-38.5727005;26.44;6.31;835
30.79;37.06;8.42;51.00;-12.8734483;-38.5729980;26.57;6.30;832
31.09;37.07;8.42;51.00;-12.8733110;-38.5733413;26.41;6.28;829
31.18;37.09;8.42;51.00;-12.8731794;-38.5736351;26.55;6.28;828
31.09;37.12;8.42;51.00;-12.8730306;-38.5739173;26.41;6.25;829
32.26;37.16;8.42;51.00;-12.8728590;-38.5742416;26.54;6.26;850
34.21;37.17;8.42;51.00;-12.8727293;-38.5745315;26.37;6.25;829
35.97;37.18;8.42;51.00;-12.8726491;-38.5748481;26.52;6.23;846
35.00;37.21;8.51;51.00;-12.8725585;-38.5751686;26.38;6.26;832
35.00;37.22;8.51;51.00;-12.8724203;-38.5755081;26.53;6.23;834
60.22;37.26;8.51;51.00;-12.8722887;-38.5758094;26.39;6.24;834
88.76;37.30;8.60;50.00;-12.8721494;-38.5761909;26.52;6.26;834
87.39;37.23;8.51;51.00;-12.8720083;-38.5765380;26.38;6.27;834
78.40;37.21;8.51;51.00;-12.8719100;-38.5769004;26.53;6.30;842
91.69;37.09;8.42;51.00;-12.8718290;-38.5772247;26.38;6.36;828
90.22;36.53;8.32;51.00;-12.8717107;-38.5775794;26.52;6.41;859
90.71;35.98;8.32;51.00;-12.8715200;-38.5779609;26.39;6.46;848
91.50;35.88;8.32;51.00;-12.8714294;-38.5782699;26.51;6.49;853
